IngredientID,Name,CaloriesPerUnit,Protein
279,onion rings fried,27,0.3
280,onion rings burger king,379,3.5
281,turkey patty fried,79,3.9
282,hotcakes with syrup mcdonalds,601,9
283,crispy chicken thigh kentucky fried chicken,163,20.4
284,corn dog,195,6.7
285,chicken box mcdonalds,70,0.2
286,potato wedges kentucky fried chicken,379,5.4
287,scrambled eggs mcdonalds,98,7.7
288,egg mcmuffin mcdonalds,287,17.2
289,nachos taco bell,362,5.1
290,biscuit large mcdonalds,310,5.5
291,crispy chicken strips kentucky fried chicken,129,9.5
292,hotcakes mcdonalds,113,3
293,chicken crispy breast kentucky fried chicken,375,29.7
294,hotcakes sausage mcdonalds,776,15.5
295,chicken mcnuggets mcdonalds,48,2.5
296,chips chipotle,151,0.2
297,biscuit mcdonalds,261,4.7
298,rice bowl with chicken,36,1.6
299,spaghetti with meatballs,200,8.7
300,meat ravioli canned,259,8.9
301,cheese ravioli canned,186,6
302,premium crispy chicken ranch blt sandwich mcdonalds,586,35.3
303,steak sandwich,459,30.3
304,cheeseburger burger king,380,19.4
305,cheeseburger mcdonalds,313,15.4
306,double cheeseburger,643,37
307,double hamburger,942,52.1
308,premium grilled chicken classic sandwich mcdonalds,366,28.3
309,big n tasty with cheese mcdonalds,573,27.2
310,premium grilled chicken club sandwich mcdonalds,493,38.3
311,quarter pounder mcdonalds,417,24.1
312,premium crispy chicken classic sandwich mcdonalds,524,27.8
313,veggie burger,124,11
314,quarter pounder with cheese mcdonalds,513,29
315,beef sandwich steak raw,173,9.2
316,cheeseburger,292,15
317,premium grilled chicken ranch blt sandwich mcdonalds,412,33.7
318,double whopper with cheese burger king,1061,57.7
319,big mac mcdonalds,563,25.9
320,sandwich with cold cuts,833,41.1
321,filet o fish mcdonalds,378,15.1
322,hand breaded chicken tenders carls jr,57,0
323,grilled chicken sandwich wendys,370,0
324,sandwich with roast beef,410,28.6
325,hamburger burger king,258,14.7
326,big n tasty mcdonalds,524,24.7
327,roast beef sandwich,364,22.6
328,roast beef sandwich with cheese,473,32.2
329,hamburger,255,12.9
330,premium fish sandwich burger king,572,22.6
331,whopper burger king,790,35.4
332,sandwich with tuna salad,584,29.7
333,original chicken sandwich burger king,569,24.2
334,double whopper burger king,942,52.1
335,premium crispy chicken club sandwich mcdonalds,635,39.1
336,hamburger mcdonalds,251,12.3
337,pepperoni pizza dominos,308,12.7
338,sausage pizza,325,13.3
339,pepperoni pizza,313,13
340,pepperoni pizza pizza hut,269,12.3
341,cheese pizza pizza hut,260,11.5
342,cheese pizza,285,12.2
343,cheese pizza dominos,278,11.7
344,meat vegetable pizza,332,15
345,sucker raw,146,26.6
346,northern pike raw,348,76.3
347,haddock cooked,135,30
348,burbot cooked,104,22.3
349,pollock cooked,356,75.3
350,rainbow smelt raw,27,5
351,whitefish cooked,265,37.7
352,walleye pike raw,148,30.4
353,carp cooked,275,38.9
354,wolffish cooked,293,53.4
355,snapper cooked,218,44.7
356,roe cooked,58,8.1
357,anchovy raw,37,5.8
358,herring raw,291,33
359,cod raw,189,41.1
360,tilapia raw,111,23.3
361,whiting cooked,84,16.9
362,skipjack tuna cooked,407,86.9
363,salmon cooked,733,78.7
364,chum salmon cooked,474,79.5
365,american shad cooked,363,31.3
366,shark cooked,65,5.3
367,trout cooked,118,16.5
368,swordfish raw,196,26.7
369,rainbow trout cooked,119,16.9
370,fish sandwich with cheese,374,15.1
371,jellyfish dried,21,3.2
372,mullet raw,139,23
373,halibut cooked,353,71.7
374,lingcod raw,213,44.2
375,orange roughy cooked,30,6.4
376,cisco raw,77,15
377,florida pompano cooked,186,20.8
378,snapper raw,218,44.7
379,fish sandwich,565,22.6
380,haddock raw,143,31.5
381,ocean perch raw,51,9.8
382,cuttlefish cooked,45,9.2
383,cod cooked,189,41.1
384,seatrout raw,248,39.8
385,flounder raw,114,20.2
386,spot cooked,79,11.9
387,walleye pike cooked,148,30.4
388,perch raw,55,11.6
389,pumpkin seed sunfish raw,43,9.3
390,salt mackerel,415,25.2
391,mackerel cooked,231,21
392,tilapia cooked,111,22.8
393,drum raw,236,34.7
394,atlantic croaker fried,192,15.8
395,pumpkin seed sunfish cooked,42,9.2
396,wolffish raw,294,53.6
397,bluefin tuna cooked,276,44.9
398,scup cooked,68,12.1
399,herring cooked,290,32.9
400,bluefish raw,186,30.1
401,sheepshead cooked,234,48.4
402,bass cooked,91,15
403,pout cooked,279,58.4
404,chinook salmon raw,709,78.9
405,rockfish raw,172,35.1
406,tilefish raw,371,67.6
407,scup raw,174,31.3
408,sablefish cooked,755,51.9
409,tuna salad,383,32.9
410,coho salmon cooked,255,34.7
411,roe raw,20,3.1
412,sea bass raw,125,23.8
413,pink salmon cooked,349,56
414,sockeye salmon cooked,493,82.1
415,whitefish raw,265,37.8
416,greenland halibut cooked,760,58.6
417,northern pike cooked,350,76.5
418,salmon raw,824,80.9
419,turbot cooked,388,65.4
420,surimi,28,4.3
421,chinook salmon cooked,711,79.2
422,mullet cooked,140,23.1
423,chum salmon raw,3,0.6
424,butterfish raw,47,5.5
425,sea bass cooked,125,23.9
426,greenland halibut raw,759,58.6
427,halibut raw,371,75.7
428,sturgeon cooked,184,28.2
429,fish fillet fried,211,13.3
430,rainbow trout raw,111,15.8
431,pout raw,278,58.6
432,rainbow smelt cooked,35,6.4
433,monkfish raw,22,4.1
434,trout raw,117,16.4
435,shark raw,37,5.9
436,burbot raw,104,22.4
437,dolphinfish cooked,173,37.7
438,crayfish cooked,25,5
439,dolphinfish raw,173,37.7
440,perch cooked,54,11.4
441,cusk raw,106,23.2
442,bluefin tuna raw,41,6.6
443,milkfish cooked,54,7.4
444,carp raw,277,38.9
445,sturgeon raw,30,4.6
446,orange roughy raw,22,4.6
447,catfish fried,199,15.7
448,cuttlefish raw,22,4.6
449,bass raw,90,14.9
450,flounder cooked,109,19.4
451,milkfish raw,42,5.8
452,eel raw,375,37.6
453,catfish raw,189,24.2
454,fish sticks,78,3.1
455,coho salmon raw,254,33.8
456,monkfish cooked,27,5.3
457,yellowtail cooked,546,86.6
458,yellowfin tuna cooked,37,8.2
459,ling cooked,168,36.8
460,eel cooked,67,6.7
461,sablefish raw,753,51.8
462,salmon nuggets,60,3.6
463,yellowtail raw,546,86.5
464,butterfish cooked,47,5.5
465,caviar,42,3.9
466,pollock raw,355,75
467,catfish cooked,206,26.4
468,whiting raw,83,16.8
469,pink salmon raw,404,65.2
470,yellowfin tuna raw,31,6.9
471,mackerel raw,230,20.8
472,turbot raw,388,65.5
473,cusk cooked,106,23.1
474,atlantic croaker raw,82,14
475,sucker cooked,148,26.6
476,spot raw,79,11.8
477,drum cooked,236,34.6
478,crayfish raw,3,0.6
479,tilefish cooked,441,73.5
480,bluefish cooked,186,30.1
481,grouper cooked,238,50.2
482,sheepshead raw,257,48.1
483,herring kippered,87,9.8
484,grouper raw,238,50.2
485,ocean perch cooked,48,9.3
486,ling raw,168,36.7
487,lingcod cooked,329,68.4
488,florida pompano raw,184,20.7
489,rockfish cooked,162,33.1
